Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-04-04,0.27936092928321793,0.28463153745355,0.27057577693143964,0.27233263850212097,181440000,0.0,0.0
1988-04-05,0.2758464217185974,0.27760410456268325,0.2705758128486261,0.2758464217185974,147840000,0.0,0.0
1988-04-06,0.2776041479909466,0.2934167981147766,0.2740896027931536,0.2934167981147766,190400000,0.0,0.0
1988-04-07,0.2934167179115494,0.2978088836369719,0.28638842701911926,0.28638842701911926,163520000,0.0,0.0
1988-04-08,0.2863883531737254,0.2934166422539074,0.27936086167514584,0.2881452143192291,202720000,0.0,0.0
1988-04-11,0.29341665708869974,0.2951735183230282,0.2881452288875044,0.29165977239608765,148960000,0.0,0.0
1988-04-12,0.2934167981147766,0.2969305222722487,0.2899030504990096,0.2934167981147766,173600000,0.0,0.0
1988-04-13,0.29341667159195406,0.2951735329131222,0.28814524313019796,0.289902925491333,143360000,0.0,0.0
1988-04-14,0.28463169595196147,0.29165999064679526,0.27408967615913177,0.27760422229766846,188160000,0.0,0.0
1988-04-15,0.27936108484666644,0.28111797085396556,0.27057592760283466,0.27760422229766846,232960000,0.0,0.0
1988-04-18,0.2793609415938204,0.28638843510280265,0.27584639725749877,0.28111782670021057,170240000,0.0,0.0
1988-04-19,0.2819962310975543,0.2916598258859993,0.2819962310975543,0.2828746736049652,212329600,0.0,0.0
1988-04-20,0.28287472703043964,0.28463158891878537,0.27584643497853256,0.27936097979545593,215040000,0.0,0.0
1988-04-21,0.2837532764066131,0.28463169595196147,0.27408967615913177,0.27760422229766846,178080000,0.0,0.0
1988-04-22,0.27936091638675603,0.28287466282419765,0.2776040548971787,0.2819962203502655,107643200,0.0,0.0
1988-04-25,0.28287466157944996,0.28814526948327635,0.28111780009760345,0.2872668504714966,150080000,0.0,0.0
1988-04-26,0.2881452288875044,0.29341665708869974,0.28638836765317593,0.29165977239608765,175840000,0.0,0.0
1988-04-27,0.2934167981147766,0.29517366019351265,0.2916599125777457,0.2934167981147766,126560000,0.0,0.0
1988-04-28,0.29341676637111763,0.2951736282597854,0.28990301913548977,0.2907814383506775,99164800,0.0,0.0
1988-04-29,0.2899028965046176,0.2916597576501213,0.2846314685699393,0.2881452143192291,89992000,0.0,0.0
1988-05-02,0.2863883531737254,0.2899028965046176,0.2846314685699393,0.2881452143192291,82196800,0.0,0.0
1988-05-03,0.28814536737995267,0.2969305222722487,0.2863885053012166,0.2934167981147766,124320000,0.0,0.0
1988-05-04,0.294295261723434,0.30308041793810503,0.2934168422809904,0.295173704624176,224000000,0.0,0.0
1988-05-05,0.29517366019351265,0.2969305222722487,0.2916599125777457,0.2934167981147766,70459200,0.0,0.0
1988-05-06,0.2925382292022276,0.29341667159195406,0.289902925491333,0.289902925491333,107038400,0.0,0.0
1988-05-09,0.2899029712562383,0.2899029712562383,0.2846315419623195,0.28638842701911926,76372800,0.0,0.0
1988-05-10,0.28463152306129647,0.28814526948327635,0.28287466157944996,0.2872668504714966,95905600,0.0,0.0
1988-05-11,0.28287483340296354,0.28638858195926065,0.27760422229766846,0.27760422229766846,174720000,0.0,0.0
1988-05-12,0.27760411790711026,0.28287472703043964,0.27760411790711026,0.27936097979545593,82980800,0.0,0.0
1988-05-13,0.2828747182803634,0.2846315801143646,0.28111785644636217,0.2846315801143646,71400000,0.0,0.0
1988-05-16,0.28519461369810095,0.29135662798643197,0.28167393948572017,0.2904764711856842,74760000,0.000714,0.0
1988-05-17,0.29223689159710675,0.2957575903177949,0.2834343573878868,0.2851946949958801,193760000,0.0,0.0
