"stamp","symbol","open","high","low","close","volume"
"2022-05-27 05:10:00","AAPL","143.91","143.91","143.85","143.85","1273"
"2022-05-27 05:20:00","AAPL","143.98","143.98","143.97","143.97","720"
"2022-05-27 05:25:00","AAPL","143.94","143.97","143.94","143.97","762"
"2022-05-27 05:30:00","AAPL","144.05","144.05","144.03","144.03","697"
"2022-05-27 05:35:00","AAPL","144.01","144.05","144.01","144.05","1313"
"2022-05-27 05:40:00","AAPL","144.1","144.28","144.1","144.17","5710"
"2022-05-27 05:45:00","AAPL","144.14","144.14","144.14","144.14","201"
"2022-05-27 05:50:00","AAPL","144.14","144.29","144.14","144.29","4344"
"2022-05-27 05:55:00","AAPL","144.3","144.45","144.29","144.4","11143"
"2022-05-27 06:00:00","AAPL","144.35","144.35","144.01","144.01","5444"
"2022-05-27 06:05:00","AAPL","144.09","144.1","143.98","143.98","4773"
"2022-05-27 06:10:00","AAPL","143.99","144.17","143.99","144.17","3000"
"2022-05-27 06:15:00","AAPL","144.28","144.28","144.28","144.28","505"
"2022-05-27 06:20:00","AAPL","144.16","144.2","144.1","144.1","2646"
"2022-05-27 06:25:00","AAPL","144.19","144.19","144.19","144.19","166"
"2022-05-27 06:30:00","AAPL","144.13","144.13","144.1","144.1","1108"
"2022-05-27 06:35:00","AAPL","144.13","144.14","144","144.06","4922"
"2022-05-27 06:40:00","AAPL","144.1","144.14","144.1","144.1","905"
"2022-05-27 06:45:00","AAPL","144.1","144.2","144.1","144.19","2752"
"2022-05-27 06:50:00","AAPL","144.02","144.08","143.97","144.08","5590"
"2022-05-27 06:55:00","AAPL","144.19","144.29","144.16","144.29","2424"
"2022-05-27 07:00:00","AAPL","144.18","144.3","144.15","144.15","17204"
"2022-05-27 07:05:00","AAPL","144.17","144.2","144.13","144.19","10437"
"2022-05-27 07:10:00","AAPL","144.18","144.21","144.16","144.16","3056"
"2022-05-27 07:15:00","AAPL","144.23","144.29","143.93","143.95","12460"
"2022-05-27 07:20:00","AAPL","143.96","144.07","143.95","144.07","8305"
"2022-05-27 07:25:00","AAPL","144.01","144.1","143.95","144.02","6042"
