,country,no_profiles,avg_profile_len,std_profile_len,female_ratio,avg_monthly_duration,total_monthly_duration,std_monthly_duration,avg_high_agreement,avg_low_agreement,avg_views,total_views,std_views,avg_questions,std_questions,total_questions,avg_answers,std_answers,total_answers,avg_comments,std_comments,total_comments,lon,lat
66,Eritrea,62,8.526315789473685,12.289871263463853,0.14285714285714285,1.1014516129032261,68.29000000000002,1.9093418716579307,3.661290322580645,0.016129032258064516,4.725806451612903,293,14.964624246775154,6.0,13.828621378531167,84.0,7.428571428571429,9.501879513323365,52.0,8.75,8.6972902183874,70.0,37.9999668,15.9500319
67,Estonia,3430,12.157511210762332,27.556058595364245,0.15198087431693988,3.2777959183673593,11242.840000000042,3.4293849637866995,65.6134110787172,4.900291545189504,48.00932944606414,164672,309.4420164334506,7.761740331491713,18.378475143308336,11239.0,20.234910277324634,51.500666497293174,24808.0,40.59787234042553,169.72083075720212,57243.0,25.3319078,58.7523778
68,Eswatini,138,9.122448979591837,13.072924712711295,0.1743119266055046,1.4865942028985513,205.15000000000006,2.2750812920029087,2.3840579710144927,0.07971014492753623,4.5,621,12.804680941538471,4.181818181818182,7.485212695101528,138.0,7.24,13.245376551838756,181.0,13.333333333333334,25.820385506268256,360.0,31.3991317,-26.5624806
69,Ethiopia,3305,11.482252141982864,24.444414551483497,0.16829995739241585,1.29245385779124,4271.560000000048,1.9304174264753904,8.661724659606657,0.4517397881996974,8.08229954614221,26712,57.604977375564495,5.055172413793104,11.31311575354569,2932.0,10.855787476280835,26.752102360375265,5721.0,21.947145877378436,60.73605159404943,10381.0,38.6521203,10.2116702
70,Falkland Islands (Malvinas),7,9.25,15.840349322747484,0.0,3.0942857142857143,21.66,4.275647542158018,41.857142857142854,0.2857142857142857,10.285714285714286,72,16.9382632493642,4.333333333333333,4.932882862316247,13.0,12.0,11.313708498984761,24.0,17.5,10.606601717798213,35.0,-59.5500387,-51.9666424
71,Faroe Islands,54,10.71875,18.717310213086257,0.13333333333333333,3.2364814814814813,174.76999999999998,3.7177017436001467,15.833333333333334,1.2407407407407407,25.64814814814815,1385,87.2978327352949,4.896551724137931,6.950564353172067,142.0,14.416666666666666,14.093572573296946,173.0,17.59090909090909,25.09346166199112,387.0,-7.0322972,62.0448724
72,Fiji,246,13.989010989010989,26.44848010986832,0.16230366492146597,1.6169105691056904,397.7599999999998,2.5103154139836215,18.089430894308943,0.6585365853658537,12.195121951219512,3000,46.09248175208948,6.037974683544304,10.204879473872973,477.0,12.326086956521738,24.41316070194388,567.0,18.956521739130434,37.43992630657052,1308.0,179.0122737,-18.1239696
73,Finland,10031,12.118196811434855,27.422286764795373,0.19435993447226774,3.143485195892711,31532.299999999785,3.3708838546988877,52.40803509121723,10.752068587379124,58.04725351410627,582272,496.61885054037924,6.886044176706827,16.216742665233504,27434.0,30.228879892037785,174.53119550557003,111998.0,62.51701371254444,461.6093171024427,246192.0,25.9209164,63.2467777
74,France,85233,11.654701596950837,26.660703754989868,0.16120260922244609,2.602589959287984,221826.54999999274,2.969865691655076,39.16532329027489,6.173841117876878,41.924899980054676,3573385,885.7122870855045,6.827597553952889,21.518592661655607,248982.0,23.311436564094127,217.01665816143273,708318.0,45.140226587429375,451.26182621162434,1541945.0,1.8883335,46.603354
75,French Guiana,27,8.8125,10.219058991250941,0.09090909090909091,3.0303703703703695,81.81999999999998,4.269321222829656,90.85185185185185,3.7037037037037037,202.22222222222223,5460,787.2202474204521,5.909090909090909,7.660999222745626,65.0,69.8,163.58266683511698,698.0,60.75,122.73483983405409,729.0,-52.999998,4.0039882
